time                            | close_price | high_price | low_price | open_price | symbol | value       | volume
---------------------------------+-------------+------------+-----------+------------+--------+-------------+----------
 2024-09-12 00:00:00.000000+0000 |        0.29 |       0.31 |      0.26 |        0.3 |    JKN |  7.6739e+06 | 27529083
 2024-07-15 00:00:00.000000+0000 |        0.04 |       0.04 |      0.03 |       0.03 |    KKC |       13235 |   332900
 2025-03-07 00:00:00.000000+0000 |         2.6 |        2.6 |      2.52 |       2.54 |    PDG |  1.6515e+05 |    65009
 2025-02-26 00:00:00.000000+0000 |        8.95 |       8.95 |      8.95 |       8.95 |    OCC |         895 |      100
 2025-02-20 00:00:00.000000+0000 |        8.45 |       8.45 |      8.45 |       8.45 |    OCC |        8450 |     1000
 2025-02-25 00:00:00.000000+0000 |        0.11 |       0.11 |      0.08 |       0.09 |    NWR |  6.8792e+05 |  7225500
 2025-02-28 00:00:00.000000+0000 |         303 |        309 |       303 |        309 |   OHTL |    1.23e+05 |      400
 2024-09-06 00:00:00.000000+0000 |        0.32 |       0.35 |      0.32 |       0.34 |    JKN |  6.6821e+06 | 20066358
 2025-02-10 00:00:00.000000+0000 |        28.5 |       28.5 |      28.5 |       28.5 | MANRIN |        2850 |      100
 2025-01-14 00:00:00.000000+0000 |         7.8 |        7.8 |       7.8 |        7.8 |    OCC |        1560 |      200
 2025-03-05 00:00:00.000000+0000 |        2.56 |       2.56 |      2.52 |       2.54 |    PDG | 35392.51953 |    13912
 2025-02-24 00:00:00.000000+0000 |           9 |          9 |         9 |          9 |    OCC |         900 |      100
 2024-09-05 00:00:00.000000+0000 |        0.34 |       0.37 |      0.33 |       0.37 |    JKN |  6.5936e+06 | 19003496
 2024-07-26 00:00:00.000000+0000 |        0.04 |       0.04 |      0.03 |       0.03 |    KKC |  1.5154e+05 |  4462175
 2024-07-12 00:00:00.000000+0000 |        0.04 |       0.05 |      0.03 |       0.04 |    KKC | 20874.30078 |   569040
 2025-03-10 00:00:00.000000+0000 |         2.6 |        2.6 |      2.58 |        2.6 |    PDG |       23098 |     8900
 2023-05-17 00:00:00.000000+0000 |        0.33 |       0.36 |      0.21 |       0.22 |   ACAP |  3.6176e+06 | 13918556
 2025-03-13 00:00:00.000000+0000 |        2.64 |       2.64 |       2.6 |        2.6 |    PDG | 27142.30078 |    10410
 2025-02-06 00:00:00.000000+0000 |         1.3 |       1.35 |       1.3 |       1.35 |    MUD |        2965 |     2200
